ml_name,forecasted_price,actual_price,optimal_price,regret_rank,regret,spearman_rank,spearman,w_spearman_max_rank,w_spearman_max,w_spearman_min_rank,w_spearman_min,w_mae_max_rank,w_mae_max,w_mae_min_rank,w_mae_min,w_spearman_exp_rank,w_spearman_exp,w_spearman_o2_rank,w_spearman_o2,mae_rank,mae,w_spearman_o3_rank,w_spearman_o3,w_spearman_o1_rank,w_spearman_o1,w_mae_exp_rank,w_mae_exp,w_mae_o2_rank,w_mae_o2,w_mae_o1_rank,w_mae_o1,mse_rank,mse,w_mae_o3_rank,w_mae_o3
bay_reg_all_feat_90_days,2938519.1146940854,2922512.152505149,2866350.9531697268,1,56161.19933542067,2,0.7990072508163871,2,0.9958415610804913,2,0.9959025235081387,3,0.3321342671542863,3,0.3497649412674046,2,0.9958642932774101,2,0.9958217951274023,2,15.335774603217498,2,0.9958438665220029,2,0.9958293652695048,3,0.34368724780945376,2,0.32267539946381824,3,0.3281638111344235,1,724.958852819275,3,0.3391073993377296
bay_reg_all_feat_300_days,2976180.2807595883,2923153.8614097256,2866350.9531697268,2,56802.90823999997,1,0.800033904555702,1,0.9958660563336472,1,0.9959285504293663,4,0.3329526846795982,4,0.3504687100365946,1,0.995894088567289,1,0.9958419889577796,4,15.387724171609015,1,0.9958733202362494,1,0.9958525926992495,4,0.34439376979560715,5,0.32358941675941394,5,0.3290113173428236,3,734.9158382128514,6,0.3398448868780625
lin_svr_c1e3_all_feat_300_days,2945932.1886017197,2924759.928066379,2866350.9531697268,3,58408.97489665349,4,0.7939503311005066,4,0.9957466836733022,4,0.995808180116138,38,0.4535995388905781,38,0.47269898539313565,4,0.9957786503221038,4,0.9957190979924381,38,21.1320758486712,4,0.9957581691438306,4,0.9957321520395908,38,0.46601250010792783,38,0.4432642307651478,38,0.4492583919615074,39,1274.9471919668845,38,0.46110172537063265
lin_svr_c1e3_all_feat_90_days,2938965.9349951544,2925525.9250223283,2866350.9531697268,4,59174.97185260266,5,0.7909134091243192,5,0.995681459054632,5,0.9957515305701539,40,0.465858962256417,40,0.48654496772314504,5,0.9957117596529956,5,0.995655892819282,40,21.70214724319782,5,0.9956882431162204,5,0.9956667330433044,40,0.47878969202955496,41,0.4552929636377089,40,0.46121090942038684,46,1718.2375153640558,40,0.47316902287713664
bay_reg_all_feat_30_days,2931293.734095117,2925668.791251781,2866350.9531697268,5,59317.838082054834,3,0.795059451935828,3,0.9957647780582863,3,0.9958284445354857,2,0.33166948711993827,1,0.3473539493348735,3,0.9957897658447049,3,0.9957426728155357,3,15.342448808351286,3,0.9957700074571477,3,0.9957524459736028,2,0.342496803015714,3,0.3228283879509857,2,0.32807855579824274,2,726.4767130480859,2,0.33855475939363505
lin_svr_c1e3_all_feat_30_days,2935308.0188152506,2926434.932793935,2866350.9531697268,6,60083.97962420738,6,0.7891411950548641,6,0.9956423265182377,6,0.9956974622968789,39,0.45603509048104074,39,0.47646680180347717,6,0.9956642654646914,6,0.9956228093908587,39,21.241408896232578,6,0.995648375258852,6,0.9956317882918496,39,0.46904979382963974,39,0.4452905425619055,39,0.4513659043745536,38,1220.2725465028518,39,0.4633526293744427
mlp_basic_feat_300_days,2934362.5367241306,2928027.013514217,2866350.9531697268,7,61676.06034450105,11,0.7762137448558962,11,0.9953093167245598,14,0.9952541251578824,7,0.33673096304372413,7,0.3540561477355602,13,0.9952750972750152,11,0.995336530009058,7,15.606099927868955,13,0.9952900883594785,11,0.99532121875612,7,0.34771660441042784,7,0.327713862414492,7,0.3328322044758709,9,764.0401870966903,7,0.3430674476844724
mlp_all_feat_300_days,2932088.869526685,2928064.64912643,2866350.9531697268,8,61713.69595671238,10,0.7780856332206861,7,0.9954257619496872,7,0.9955070315269866,9,0.3437597477881855,9,0.3602473255830718,7,0.9954673374082603,9,0.9953902095010764,9,15.913534460079775,7,0.9954409665385233,7,0.9954072792039834,9,0.35460925764287904,10,0.33483951297226056,9,0.3400350508581073,7,751.812141073802,9,0.350383891800302
bay_reg_basic_feat_90_days,2922238.6895638276,2928229.4750569635,2866350.9531697268,9,61878.52188724084,7,0.7802211528738591,9,0.9953824591109941,9,0.9952860330538323,5,0.33321352012034167,6,0.35230671190803153,9,0.9953324796239581,8,0.9954215027850248,5,15.396839760320438,9,0.9953629754310761,9,0.9954020664201954,6,0.34496558358423574,4,0.3235849318321703,4,0.3289374451605224,5,742.5918993709575,4,0.3396555250421898
bay_reg_basic_feat_300_days,2924751.9872181374,2928479.6939321673,2866350.9531697268,10,62128.740762446185,8,0.7801539385792244,8,0.9953854014410464,8,0.9952995745875979,1,0.32977615096286267,2,0.3479298980733278,8,0.9953394471124805,7,0.9954221032281988,1,15.254538234070488,8,0.9953661654156767,8,0.9954034092747124,1,0.34119187763654846,1,0.3204036005011118,1,0.3256838492164705,6,746.8884676045095,1,0.33622907793079815
